,MCF7_count,T47D_count,BT-474_count,BT-549_count,HBL-100_count,SUM-159159_count
ENSG00000222472,0,0,0,0,0,0
ENSG00000275383,3,0,5,1,0,0
ENSG00000249396,0,0,0,0,0,0
ENSG00000249395,21,3,1,0,0,15
ENSG00000133019,17,82,5,0,1,339
ENSG00000275385,0,0,1,0,0,0
ENSG00000271499,0,0,1,0,0,0
ENSG00000271498,0,0,0,0,0,0
ENSG00000241568,0,0,4,0,0,0
ENSG00000271492,0,0,0,0,0,0
ENSG00000271491,0,0,0,0,0,0
ENSG00000241560,0,0,0,0,0,1
ENSG00000271496,0,0,0,0,0,0
ENSG00000271495,0,0,0,0,0,0
ENSG00000271494,0,0,0,0,0,0
ENSG00000258626,0,0,0,0,3,0
ENSG00000233219,0,0,0,1,0,0
ENSG00000233213,0,0,0,0,0,0
ENSG00000136197,116,261,269,124,95,152
ENSG00000173302,0,0,0,0,0,0
ENSG00000233217,0,2,0,0,0,0
ENSG00000136193,3024,3295,4277,2104,1986,3087
ENSG00000233215,4,2,0,0,0,4
ENSG00000233214,0,0,0,0,0,0
ENSG00000225183,0,0,0,0,0,0
ENSG00000248378,0,0,0,0,0,0
ENSG00000226469,1,10,8,0,0,0
ENSG00000248373,0,1,0,0,0,0
ENSG00000248370,0,0,0,0,0,32
ENSG00000248371,2,0,1,0,0,0
ENSG00000248376,0,0,0,0,0,0
ENSG00000248377,1,0,0,0,0,0
ENSG00000248374,0,0,0,0,0,0
ENSG00000248375,3,3,1,2,0,5
ENSG00000249028,0,0,0,1,0,0
ENSG00000249021,0,0,0,0,0,0
ENSG00000249023,0,0,0,0,0,0
ENSG00000249022,0,0,0,0,0,0
ENSG00000228612,20,0,16,26,10,28
ENSG00000249026,1,1,1,0,0,1
ENSG00000268678,1,2,7,1,0,4
ENSG00000268670,13,6,4,6,13,9
ENSG00000268673,0,0,0,0,0,0
ENSG00000049130,1319,1099,352,64,202,149
ENSG00000268677,0,0,0,0,0,0
ENSG00000274381,0,1,0,0,0,0
ENSG00000274383,9,18,19,11,4,11
ENSG00000274386,3,3,9,0,0,0
ENSG00000274387,0,0,0,0,0,0
ENSG00000279177,0,2,0,0,0,1
ENSG00000276855,34,9,2,26,4,0
ENSG00000177710,0,0,1,1,0,0
ENSG00000258623,0,1,1,0,12,3
ENSG00000271239,0,0,0,1,0,0
ENSG00000271237,0,0,0,0,0,0
ENSG00000271236,0,0,0,0,0,1
ENSG00000271235,0,0,0,0,0,0
ENSG00000237661,0,0,0,0,0,1
ENSG00000271232,0,0,0,0,0,0
ENSG00000271231,0,0,0,0,0,0
ENSG00000213368,0,0,0,0,0,0
ENSG00000223704,2,0,0,0,0,0
ENSG00000223705,357,472,534,177,282,391
ENSG00000274038,2,0,0,0,2,0
ENSG00000223707,0,0,0,0,0,2
ENSG00000236489,0,1,1,0,0,0
ENSG00000223701,2,1,0,3,0,0
ENSG00000223702,0,0,0,0,0,0
ENSG00000223703,38,18,25,4,11,10
ENSG00000279004,0,0,0,0,0,0
ENSG00000236484,0,0,0,1,0,0
ENSG00000236487,0,0,0,0,0,0
ENSG00000279007,1,1,0,0,0,1
ENSG00000236481,0,0,0,0,0,0
ENSG00000236480,12,4,8,8,2,7
ENSG00000279002,0,0,0,0,0,0
ENSG00000099715,0,0,2,0,0,0
ENSG00000270728,19,8,14,8,3,9
ENSG00000270729,0,0,0,0,0,0
ENSG00000270723,2,0,0,0,0,0
ENSG00000270720,0,1,0,0,0,0
ENSG00000270726,0,0,0,0,0,0
ENSG00000270727,0,0,0,0,0,0
ENSG00000270725,0,0,0,0,0,0
ENSG00000174652,124,215,399,358,165,151
ENSG00000237669,9,1,3,5,5,1
ENSG00000141161,1,2,0,2,4,1
ENSG00000130734,583,262,491,152,243,240
ENSG00000130731,910,524,549,401,403,647
ENSG00000130733,1132,491,590,249,570,385
ENSG00000228984,1,0,0,0,0,0
ENSG00000113240,199,275,284,248,250,274
ENSG00000180205,0,0,0,0,0,0
ENSG00000113249,0,1,1,0,1,0
ENSG00000113248,47,23,19,4,22,9
ENSG00000145425,3676,2880,2605,3587,1731,3767
ENSG00000140416,1540,1819,2509,2361,3196,2815
ENSG00000145423,0,0,0,448,0,2
ENSG00000145428,0,1,0,0,2,0
ENSG00000242876,0,0,1,1,1,1
ENSG00000170820,1,0,0,0,0,0
ENSG00000235683,0,0,0,0,2,1
ENSG00000089692,1,4,0,10,16,13
ENSG00000110911,1456,1308,919,338,792,1387
ENSG00000227496,0,1,0,4,31,3
ENSG00000170827,0,0,0,0,0,0
ENSG00000231017,0,1,0,0,1,0
ENSG00000235688,0,0,0,0,0,0
ENSG00000227497,0,0,0,0,0,0
ENSG00000250573,0,0,0,0,0,0
ENSG00000111554,216,271,108,215,271,153
ENSG00000139304,8,8,15,4,6,2
ENSG00000228446,5,2,2,1,4,3
ENSG00000250574,0,0,0,0,0,0
ENSG00000113790,64,546,51,19,102,97
ENSG00000250577,0,0,0,0,0,0
ENSG00000117036,261,476,363,326,333,301
ENSG00000186400,0,0,0,0,0,0
ENSG00000228445,0,0,1,0,0,5
ENSG00000073614,711,773,650,937,1929,1165
ENSG00000273569,0,0,0,0,0,0
ENSG00000273568,9,12,14,12,6,6
ENSG00000261209,0,0,0,0,0,0
ENSG00000261208,0,0,0,0,0,0
ENSG00000064270,457,371,480,5,16,4
ENSG00000180803,0,0,1,0,0,0
ENSG00000261203,0,0,0,0,0,0
ENSG00000261202,2,0,2,0,7,1
ENSG00000261200,0,0,0,0,0,0
ENSG00000261207,3,5,2,8,6,5
ENSG00000261206,0,0,0,0,0,0
ENSG00000273567,0,0,1,0,0,0
ENSG00000273566,0,0,0,0,0,0
ENSG00000220694,0,0,0,0,0,1
ENSG00000100926,1057,499,655,662,1116,742
ENSG00000269072,3,0,0,0,0,0
ENSG00000267335,0,0,0,0,0,0
ENSG00000267334,0,0,0,0,0,0
ENSG00000267337,0,0,0,0,0,0
ENSG00000267336,0,1,1,0,0,0
ENSG00000267333,0,0,0,0,0,0
ENSG00000267332,0,0,0,0,0,0
ENSG00000075618,520,105,256,866,2170,9042
ENSG00000267339,0,0,0,0,0,0
ENSG00000267338,0,1,0,1,0,1
ENSG00000224169,0,0,0,0,0,0
ENSG00000224165,13,12,11,1,8,3
ENSG00000224164,0,0,0,0,0,0
ENSG00000224167,0,6,0,9,3,0
ENSG00000224166,0,0,0,0,0,0
ENSG00000235647,0,0,0,0,0,0
ENSG00000068796,770,670,381,651,479,765
ENSG00000224162,0,0,0,0,0,0
ENSG00000264587,0,0,0,0,0,0
ENSG00000264582,0,0,0,0,0,0
ENSG00000264589,0,0,1,0,0,0
ENSG00000275800,0,1,0,0,0,0
ENSG00000275801,0,0,0,0,0,0
ENSG00000134291,900,3717,1859,1129,1391,710
ENSG00000275803,1,0,0,0,0,0
ENSG00000134297,53,95,39,27,24,37
ENSG00000223885,0,0,0,0,0,0
ENSG00000143147,13,150,122,164,183,506
ENSG00000134294,5733,4393,3342,4539,6525,14828
ENSG00000275808,0,0,0,0,0,0
ENSG00000228618,0,0,0,0,0,1
ENSG00000018610,279,167,151,372,280,215
ENSG00000250692,0,0,0,0,0,1
ENSG00000225413,0,0,0,0,0,0
ENSG00000225411,12,22,1,5,8,4
ENSG00000225416,0,0,1,1,1,0
ENSG00000225417,0,0,1,0,0,0
ENSG00000225415,0,0,1,0,0,0
ENSG00000225418,0,0,0,0,0,0
ENSG00000225419,1,1,2,0,0,2
ENSG00000229702,0,0,0,0,0,0
ENSG00000229703,0,0,0,0,0,0
ENSG00000229700,0,0,1,0,0,1
ENSG00000229701,0,0,0,0,0,0
ENSG00000229707,1,0,0,0,0,0
ENSG00000229704,1,0,0,0,1,0
ENSG00000262803,0,0,0,0,0,0
ENSG00000229708,0,0,0,0,0,0
ENSG00000229709,0,0,0,0,0,0
ENSG00000080493,0,1,3,0,88,12
ENSG00000184302,0,0,0,1,0,0
ENSG00000143119,0,0,1,0,1,1
ENSG00000138892,3,0,1,3,1,0
ENSG00000184307,213,365,348,124,105,37
ENSG00000168078,700,726,428,1981,491,855
ENSG00000184305,10,58,42,2,0,3
ENSG00000269694,1,0,0,3,0,0
ENSG00000168077,298,524,199,995,1416,553
ENSG00000269696,0,8,13,5,2,3
ENSG00000134121,0,2,2,1,1,2
ENSG00000168070,1,0,0,0,0,0
ENSG00000269693,0,0,0,0,0,0
ENSG00000111799,152,1577,9655,1671,6090,11571
ENSG00000265188,0,0,0,0,0,0
ENSG00000165389,2735,745,2084,944,645,1413
ENSG00000235642,0,0,0,0,0,0
ENSG00000189306,1515,972,784,856,1596,470
ENSG00000189308,267,253,266,375,335,367
ENSG00000111790,506,580,277,316,406,366
ENSG00000111796,1,5,1,1,1,1
ENSG00000265182,0,0,0,0,1,1
ENSG00000259845,7,9,14,12,10,7
ENSG00000090621,1696,2377,2046,2640,1790,1616
ENSG00000101180,7,1,2,1,2,1
ENSG00000260644,35,62,0,0,0,2
ENSG00000260645,8,1,15,9,2,2
ENSG00000260646,0,2,1,2,0,1
ENSG00000260647,0,2,2,1,0,0
ENSG00000260640,0,0,0,0,0,0
ENSG00000115935,186,0,3,1,170,837
ENSG00000260642,0,0,0,0,0,0
ENSG00000260643,5,2,3,4,2,2
ENSG00000101680,2,2,4,1,437,84
ENSG00000102786,654,425,496,483,372,543
ENSG00000021826,13,5,35,10,3,656
ENSG00000102780,924,457,494,385,65,343
ENSG00000102781,134,113,23,618,508,620
ENSG00000181481,188,725,382,187,111,226
ENSG00000265907,1,0,0,1,0,2
ENSG00000271916,2,5,2,0,0,0
ENSG00000163472,118,357,457,60,56,65
ENSG00000143256,479,580,505,592,582,378
ENSG00000105835,780,646,1288,3162,4007,2847
ENSG00000247324,0,0,2,0,0,0
ENSG00000263171,0,0,0,0,0,0
ENSG00000263177,0,9,0,0,0,2
ENSG00000263176,0,0,0,0,0,0
ENSG00000263179,2,2,1,1,1,1
ENSG00000219722,0,0,0,0,0,0
ENSG00000183579,351,182,227,141,297,268
ENSG00000226141,0,0,0,0,0,0
ENSG00000251663,0,0,0,0,0,0
ENSG00000119669,1202,552,983,539,600,1749
ENSG00000251661,3,3,2,5,37,9
ENSG00000226145,0,0,0,1,0,1
ENSG00000226144,0,0,0,0,0,4
ENSG00000251664,84,67,0,17,1,4
ENSG00000251665,0,1,3,0,0,0
ENSG00000226149,0,1,0,1,0,4
ENSG00000226148,1,0,0,1,0,0
ENSG00000119661,168,79,16,113,305,175
ENSG00000251669,39,91,49,9,31,14
ENSG00000266527,0,4,0,0,0,0
ENSG00000280665,0,0,0,0,0,0
ENSG00000240034,0,0,0,0,0,0
ENSG00000187650,38,72,84,15,32,25
ENSG00000162739,1,0,0,1,0,0
ENSG00000162738,1,19,2,0,139,1
ENSG00000147138,0,0,0,0,0,1
ENSG00000105784,22,3,27,0,1,16
ENSG00000187657,0,0,0,0,0,0
ENSG00000139767,0,0,3,0,2,1
ENSG00000162733,33,15,38,246,42,9
ENSG00000135655,892,644,700,478,522,658
ENSG00000147130,772,991,743,1031,883,705
ENSG00000162736,958,1719,1186,1565,1691,1260
ENSG00000162735,487,1067,977,413,882,393
ENSG00000162734,434,981,469,625,1014,437
ENSG00000250025,0,0,0,0,0,0
ENSG00000132004,296,267,112,115,126,123
ENSG00000132005,305,124,1129,159,205,181
ENSG00000132000,6,4,7,2,38,37
ENSG00000132002,2585,947,2361,1214,2126,854
ENSG00000165704,1055,235,316,970,1015,600
ENSG00000169857,201,188,117,164,177,158
ENSG00000169856,119,14,2,0,4,0
ENSG00000169855,1769,731,149,3367,15,1419
ENSG00000169851,740,37,23,227,52,1856
ENSG00000101200,0,0,0,1,0,0
ENSG00000101203,5,2,3,2,5,0
ENSG00000101204,0,0,1,0,5,0
ENSG00000179967,154,150,333,186,60,154
ENSG00000261997,4,1,0,1,20,3
ENSG00000261996,11,2,3,0,3,0
ENSG00000109775,173,238,229,236,87,223
ENSG00000180357,1195,896,1069,592,1075,1009
ENSG00000179965,181,155,78,99,205,127
ENSG00000109771,55,11,31,19,13,27
ENSG00000180353,6,2,52,1,331,8
ENSG00000029639,64,122,75,270,57,121
ENSG00000162086,277,365,233,137,170,118
ENSG00000188162,3,3,1,1,1,1
ENSG00000188163,1,1,1,0,10,0
ENSG00000188167,38,27,12,30,63,48
ENSG00000185495,106,84,48,153,55,74
ENSG00000189316,0,0,3,0,0,0
ENSG00000185499,291,1682,463,73,158,76
ENSG00000213549,0,0,0,0,0,0
ENSG00000213548,0,0,0,0,0,0
ENSG00000211780,0,0,0,0,0,0
ENSG00000213547,0,0,0,0,0,0
ENSG00000213540,0,0,0,0,0,0
ENSG00000213543,0,0,1,0,1,0
ENSG00000213542,8,3,6,4,13,2
ENSG00000250131,2,1,4,0,0,0
ENSG00000014257,9,10,80,0,27,72
ENSG00000250133,4,203,104,14,15,47
ENSG00000267699,0,9,10,6,4,6
ENSG00000250135,0,0,0,0,0,0
ENSG00000250137,0,0,1,0,0,1
ENSG00000267693,0,0,2,0,0,0
ENSG00000267690,1,0,0,0,1,0
ENSG00000267691,0,4,2,0,1,1
ENSG00000267696,0,0,0,0,0,0
ENSG00000267694,0,0,0,0,0,0
ENSG00000267695,0,0,0,0,0,0
ENSG00000070731,157,651,730,11,14,9
ENSG00000211786,0,0,0,0,0,0
ENSG00000217044,0,0,0,0,0,0
ENSG00000006606,1,0,0,0,91,2
ENSG00000006607,614,328,801,565,442,641
ENSG00000153982,14,76,115,4,28,32
ENSG00000100557,0,0,2,0,0,0
ENSG00000100554,472,470,375,733,1078,353
ENSG00000100558,142,84,43,11,179,343
ENSG00000282851,33,93,0,0,86,50
ENSG00000282850,0,0,0,0,0,0
ENSG00000228897,2,6,0,0,0,0
ENSG00000217195,0,0,0,0,0,0
ENSG00000282855,2,2,0,1,5,0
ENSG00000228890,0,0,0,0,0,0
ENSG00000282859,0,0,0,0,0,0
ENSG00000228898,0,0,0,0,0,0
ENSG00000125347,119,83,108,291,693,463
ENSG00000237350,315,289,332,411,296,325
ENSG00000010404,2715,327,373,1530,1835,1801
ENSG00000253179,0,0,0,0,0,0
ENSG00000218549,0,0,1,0,0,0
ENSG00000270307,3,7,9,4,2,2
ENSG00000229422,42,27,20,6,27,13
ENSG00000181977,0,0,0,0,0,1
ENSG00000197445,2,0,0,0,0,0
ENSG00000197444,15,157,50,251,11,1
ENSG00000197446,2,0,3,0,0,1
ENSG00000197442,207,67,78,193,479,1647
ENSG00000168818,205,355,203,128,264,236
ENSG00000256474,0,0,0,0,0,0
ENSG00000197448,458,777,852,344,426,499
ENSG00000253170,0,0,0,0,0,0
ENSG00000261314,0,0,0,0,0,0
ENSG00000253171,1,0,0,2,0,0
ENSG00000226113,0,0,0,0,0,0
ENSG00000259156,1,0,0,1,1,0
ENSG00000125691,5016,7420,30809,8657,2780,4969
ENSG00000254909,16,13,2,14,5,11
ENSG00000253173,1,1,0,1,1,1
ENSG00000125695,1,9,6,16,17,37
ENSG00000254900,2,3,0,0,0,1
ENSG00000259150,0,0,0,0,0,0
ENSG00000254902,0,0,1,0,0,0
ENSG00000254903,0,0,0,0,0,0
ENSG00000234155,0,0,0,4,12,7
ENSG00000254905,1,0,2,1,0,0
ENSG00000254906,0,0,0,0,0,0
ENSG00000254907,4,1,7,0,3,2
ENSG00000253176,1,0,0,0,6,0
ENSG00000232668,0,0,0,0,0,0
ENSG00000104695,453,379,616,1608,425,631
ENSG00000259153,41,33,28,19,66,10
ENSG00000182447,1,0,1,0,0,1
ENSG00000182446,1235,2480,2256,1755,1852,1798
ENSG00000261307,0,0,0,0,0,0
ENSG00000228278,0,3,1,1,1,0
ENSG00000214295,2,0,1,3,0,0
ENSG00000228271,0,0,0,1,0,0
ENSG00000156990,639,639,375,496,533,194
ENSG00000228272,0,0,0,0,0,0
ENSG00000228275,1,0,0,0,0,1
ENSG00000228274,14,53,26,24,27,22
ENSG00000228277,0,0,0,1,0,3
ENSG00000139330,0,0,0,0,0,0
ENSG00000107521,396,666,569,698,399,593
ENSG00000164385,1,2,1,1,0,2
ENSG00000222343,0,0,0,0,0,0
ENSG00000106692,341,622,328,613,237,472
ENSG00000237019,0,0,0,0,0,0
ENSG00000163295,1,1,1,1,0,1
ENSG00000155975,367,274,376,707,257,417
ENSG00000155974,130,57,83,12,2,0
ENSG00000255519,0,0,0,0,0,0
ENSG00000239408,0,0,0,0,0,0
ENSG00000261502,0,2,0,0,0,0
ENSG00000211937,0,0,0,0,0,0
ENSG00000239405,1,4,18,0,5,4
ENSG00000258433,0,0,0,0,0,0
ENSG00000239407,20,17,9,12,11,15
ENSG00000228450,0,0,0,0,0,0
ENSG00000239402,22,1,42,0,0,1
ENSG00000275210,0,0,0,0,0,0
ENSG00000226930,0,0,0,0,0,0
ENSG00000226933,0,0,1,0,0,0
ENSG00000226935,0,1,0,0,5,0
ENSG00000151276,435,437,214,231,183,244
ENSG00000226937,0,1,5,0,1,4
ENSG00000226938,0,0,0,0,0,0
ENSG00000140350,1774,2134,1687,1545,1716,1743
ENSG00000211933,0,0,0,1,0,0
ENSG00000237532,0,0,0,0,0,0
ENSG00000106341,1,0,0,0,0,0
ENSG00000237530,0,0,0,0,0,0
ENSG00000237531,0,0,0,0,1,0
ENSG00000106344,559,593,953,715,738,530
ENSG00000106346,706,387,438,226,359,371
ENSG00000106348,1105,901,2173,477,740,677
ENSG00000167393,506,251,343,242,366,222
ENSG00000280543,1,0,0,9,0,1
ENSG00000237539,0,0,0,1,0,0
ENSG00000247081,30,1,2,5,15,9
ENSG00000167397,954,742,284,1808,700,1090
ENSG00000167394,278,145,217,195,219,137
ENSG00000167395,249,360,285,214,264,247
ENSG00000205937,2367,1673,1334,1340,1530,1130
ENSG00000205936,0,0,0,0,0,0
ENSG00000124562,992,1027,688,937,797,513
ENSG00000124564,0,1,3,0,0,0
ENSG00000205930,3,6,7,1,3,1
ENSG00000124568,0,0,0,0,1,0
ENSG00000211950,1,0,0,0,0,0
ENSG00000241307,0,1,0,0,0,1
ENSG00000169067,1,0,0,2,21,76
ENSG00000169064,0,1,0,0,0,3
ENSG00000169062,447,770,630,337,402,337
ENSG00000244485,11,4,0,1,0,21
ENSG00000225803,0,0,0,0,0,0
ENSG00000240364,0,0,0,0,0,0
ENSG00000240366,0,0,0,1,0,0
ENSG00000240361,0,0,0,0,0,0
ENSG00000252886,0,0,0,0,0,0
ENSG00000107874,343,738,401,562,417,632
ENSG00000225805,1,2,1,1,1,1
ENSG00000179010,4549,5857,3158,1585,2681,3607
ENSG00000250950,2,1,1,2,0,1
ENSG00000250957,0,0,0,0,0,0
ENSG00000225807,0,0,0,0,0,0
ENSG00000250955,0,0,0,0,0,0
ENSG00000255359,0,1,2,0,0,0
ENSG00000255356,0,1,0,0,0,0
ENSG00000255357,0,0,0,0,0,0
ENSG00000255354,1,2,0,0,5,0
ENSG00000255355,1,1,0,1,2,2
ENSG00000255352,1,0,0,0,0,0
ENSG00000255353,7,1,0,1,0,4
ENSG00000255350,1,3,1,1,1,1
ENSG00000255351,0,4,0,0,0,0
ENSG00000232661,0,0,0,0,0,0
ENSG00000103353,1825,1473,1365,1372,1680,1046
ENSG00000152611,0,8,1,5,0,0
ENSG00000225359,0,0,0,0,0,0
ENSG00000225358,0,0,0,0,0,0
ENSG00000226255,0,0,0,0,0,0
ENSG00000276603,4,9,9,8,1,8
ENSG00000225350,0,0,0,0,0,0
ENSG00000276601,0,0,0,0,0,0
ENSG00000276600,12,11,0,69,37,68
ENSG00000225355,2,2,1,3,1,0
ENSG00000225354,0,0,0,0,0,0
ENSG00000276605,0,0,0,0,0,0
ENSG00000225356,14,4,4,0,0,0
ENSG00000282033,0,1,0,0,0,0
ENSG00000282031,0,16,13,3,0,4
ENSG00000257061,1,0,0,0,0,0
ENSG00000282034,1883,898,907,1012,695,624
ENSG00000008294,1193,1224,1142,2560,2683,1609
ENSG00000178947,67,1,7,0,5,0
ENSG00000219693,2,0,1,0,0,0
ENSG00000253641,0,3,1,8,2,4
ENSG00000185963,1056,506,695,1073,1837,935
ENSG00000128789,696,445,872,298,311,473
ENSG00000217447,0,0,0,0,0,0
ENSG00000241014,17,7,3,38,53,42
ENSG00000244067,1,0,0,3,0,0
ENSG00000268475,0,0,0,0,0,0
ENSG00000278066,41,20,22,18,22,13
ENSG00000268473,0,0,0,0,0,0
ENSG00000244063,0,4,1,0,0,0
ENSG00000244060,0,0,1,0,0,0
ENSG00000244061,0,0,0,0,0,0
ENSG00000166118,0,0,0,0,0,0
ENSG00000241018,0,0,0,0,0,0
ENSG00000110697,7,412,600,754,2929,1241
ENSG00000278060,0,0,1,0,0,0
ENSG00000122122,0,2,1,1,0,0
ENSG00000122121,0,0,1,0,1,2
ENSG00000122126,1196,685,721,1679,956,616
ENSG00000123165,1,1,0,0,0,0
ENSG00000249392,0,0,0,0,0,0
ENSG00000255829,0,0,0,0,0,0
ENSG00000198719,37,99,162,27,44,113
ENSG00000255825,0,0,0,0,0,0
ENSG00000255823,1,5,16,2,11,8
ENSG00000251307,0,3,1,2,3,6
ENSG00000091106,6,3,14,5,2,5
ENSG00000270528,0,0,0,0,0,1
ENSG00000270521,0,0,0,0,0,0
ENSG00000270522,0,0,0,0,1,0
ENSG00000270523,0,0,0,0,0,0
ENSG00000270524,0,0,0,0,0,0
ENSG00000270526,0,0,0,0,0,0
ENSG00000278735,0,1,0,0,0,0
ENSG00000278734,0,0,0,0,0,0
ENSG00000278737,0,0,1,0,5,0
ENSG00000278736,0,0,0,0,0,0
ENSG00000278730,1826,1029,538,81,351,419
ENSG00000158042,737,611,816,568,1025,561
ENSG00000278732,0,0,0,0,0,0
ENSG00000235007,3,0,0,0,0,0
ENSG00000004142,1835,2773,1882,1778,1099,1265
ENSG00000198712,1545,2021,4879,1548,13621,47085
ENSG00000159399,1304,220,912,1982,411,2514
ENSG00000159398,1,1,0,0,1,0
ENSG00000122786,9,215,6,1713,1175,1874
ENSG00000122787,3,0,1,0,0,0
ENSG00000233945,0,0,0,0,0,0
ENSG00000233944,0,0,0,0,0,0
ENSG00000233943,0,0,0,0,0,0
ENSG00000122783,565,306,522,284,376,374
ENSG00000173852,199,1033,692,882,763,1594
ENSG00000233940,0,1,0,0,0,0
ENSG00000270292,1,0,3,2,0,0
ENSG00000270293,0,0,0,0,0,0
ENSG00000059378,293,378,325,195,354,363
ENSG00000129667,115,453,230,148,523,399
ENSG00000270296,0,0,0,1,1,0
ENSG00000270294,0,0,1,0,0,0
ENSG00000237017,33,20,26,22,39,30
ENSG00000270299,1,1,0,1,2,1
ENSG00000154611,0,1,1,0,0,0
ENSG00000059377,12,7,148,17,15,67
ENSG00000232010,0,0,1,0,0,0
ENSG00000171631,597,260,58,1,12,38
ENSG00000242888,2,0,1,0,0,1
ENSG00000232015,0,0,0,0,0,0
ENSG00000232018,0,0,0,5,23,0
ENSG00000155761,8,2,3,2,10,3
ENSG00000001461,114,353,86,85,272,340
ENSG00000001460,24,144,47,95,94,180
ENSG00000120784,70,67,127,38,97,50
ENSG00000120063,3738,1581,3259,1055,1004,878
ENSG00000255621,2,0,2,0,1,3
ENSG00000161609,0,0,0,0,6,1
ENSG00000282798,1,0,1,0,0,0
ENSG00000122870,1,2,1,410,206,32
ENSG00000122872,0,0,0,0,0,0
ENSG00000122873,341,568,156,538,745,607
ENSG00000122877,2,1,2,23,8,8
ENSG00000253376,0,0,0,0,0,0
ENSG00000225210,51,22,7,0,8,18
ENSG00000119655,539,690,523,1480,1666,840
ENSG00000253372,4,3,1,0,0,0
ENSG00000253373,0,0,0,0,0,0
ENSG00000253371,0,0,0,0,0,0
ENSG00000278193,0,0,0,0,0,0
ENSG00000244731,7,13,12,3,14,23
ENSG00000278195,4,0,1,0,0,4
ENSG00000276160,0,0,0,0,0,0
ENSG00000278197,0,0,0,0,0,0
ENSG00000253379,0,0,0,0,1,0
ENSG00000205106,0,2,0,0,1,0
ENSG00000257467,0,1,0,0,0,1
ENSG00000257464,0,0,1,0,0,0
ENSG00000257465,0,0,0,0,0,0
ENSG00000234050,1,0,0,1,2,0
ENSG00000205100,3,7,4,17,4,2
ENSG00000276166,1,4,0,4,6,9
ENSG00000205108,0,0,4,1,2,0
ENSG00000241244,0,0,0,0,1,0
ENSG00000276164,0,0,0,0,0,0
ENSG00000079134,536,372,874,452,273,358
ENSG00000241246,0,0,0,0,0,0
ENSG00000244738,0,0,0,0,0,0
ENSG00000157111,0,19,2,17,53,0
ENSG00000226359,1,0,1,0,18,1
ENSG00000095906,990,1059,938,460,690,563
ENSG00000155561,3191,1737,3008,1830,2688,1704
ENSG00000159023,630,390,617,399,273,463
ENSG00000122674,1220,821,1227,419,639,829
ENSG00000176984,0,0,2,0,0,0
ENSG00000176986,1550,2515,1408,1264,1159,1313
ENSG00000230778,7,1,5,2,3,0
ENSG00000170779,783,888,483,1252,998,770
ENSG00000170775,6,88,13,1,142,118
ENSG00000170776,553,781,805,1242,1896,1223
ENSG00000170777,0,1,0,0,0,0
ENSG00000174851,764,1123,693,391,1551,554
ENSG00000259456,23,12,33,13,4,3
ENSG00000236049,0,0,0,0,1,0
ENSG00000178163,1,187,37,252,115,305
ENSG00000178162,25,3,18,1,0,1
ENSG00000128203,12,6,17,53,166,112
ENSG00000175189,6,5,4,0,1,0
ENSG00000231099,0,0,0,0,0,0
ENSG00000231098,0,0,1,0,0,0
ENSG00000231093,0,0,0,1,0,1
ENSG00000231092,0,0,0,1,1,1
ENSG00000175182,177,423,270,143,231,188
ENSG00000175183,34,1,22,153,266,186
ENSG00000120436,0,0,0,0,0,0
ENSG00000231096,0,0,0,0,0,0
ENSG00000231095,1,0,0,0,0,0
ENSG00000235534,1,0,0,0,0,0
ENSG00000230328,0,0,0,0,0,0
ENSG00000232747,0,0,0,0,0,0
ENSG00000230322,0,0,0,0,0,0
ENSG00000230323,0,0,0,0,0,0
ENSG00000230320,0,0,1,0,0,0
ENSG00000230321,3,1,0,0,0,0
ENSG00000230326,0,0,0,0,0,0
ENSG00000060558,2,0,0,2,160,527
ENSG00000230324,0,0,0,0,0,0
ENSG00000230325,1,9,5,4,1,9
ENSG00000273172,0,0,0,0,0,0
ENSG00000273173,4,64,25,0,31,43
ENSG00000273171,1,0,0,0,0,0
ENSG00000273176,0,0,0,1,0,2
ENSG00000273177,0,0,0,0,0,0
ENSG00000273174,0,1,1,2,0,5
ENSG00000273175,0,0,0,0,20,2
ENSG00000078668,1028,3105,938,2844,984,1159
ENSG00000163864,18,80,46,2,0,9
ENSG00000232743,1,1,0,1,0,2
ENSG00000248943,0,0,0,0,0,0
ENSG00000248942,0,0,0,0,0,0
ENSG00000238324,1,0,0,0,0,0
ENSG00000248946,9,0,0,1,0,0
ENSG00000248949,0,0,0,0,0,0
ENSG00000235533,0,1,0,0,0,0
ENSG00000257084,6,1,12,0,1,0
ENSG00000082196,23,7,67,15,10,10
ENSG00000274997,1,0,0,2,4,2
ENSG00000274996,1,0,6,0,0,0
ENSG00000250514,0,5,0,0,0,0
ENSG00000232968,0,0,0,0,0,0
ENSG00000274993,0,0,0,0,0,1
ENSG00000257087,0,0,0,0,0,0
ENSG00000243574,0,0,0,0,0,0
ENSG00000243572,0,0,0,0,0,0
ENSG00000168234,255,104,347,69,123,274
ENSG00000248498,8,72,0,11,0,0
ENSG00000248493,0,0,0,0,0,0
ENSG00000248492,0,0,0,0,0,0
ENSG00000248491,0,0,0,0,0,1
ENSG00000248490,0,0,0,0,0,0
ENSG00000099139,13,0,11,2,11,1
ENSG00000248494,1,3,0,0,0,0
ENSG00000242770,0,0,0,0,0,0
ENSG00000168237,19,52,13,95,68,48
ENSG00000175728,0,0,0,2,7,6
ENSG00000242771,0,0,0,0,0,0
ENSG00000231637,0,0,0,0,0,0
